date,store,department,sales
2018-01-01,Boston Central,Groceries,33571
2018-02-01,Boston Central,Groceries,37228
2018-03-01,Boston Central,Groceries,37923
2018-04-01,Boston Central,Groceries,40121
2018-05-01,Boston Central,Groceries,37615
2018-06-01,Boston Central,Groceries,38327
2018-07-01,Boston Central,Groceries,38744
2018-08-01,Boston Central,Groceries,38443
2018-09-01,Boston Central,Groceries,35357
2018-10-01,Boston Central,Groceries,42652
2018-11-01,Boston Central,Groceries,42426
2018-12-01,Boston Central,Groceries,37661
2019-01-01,Boston Central,Groceries,39642
2019-02-01,Boston Central,Groceries,38684
2019-03-01,Boston Central,Groceries,38321
2019-04-01,Boston Central,Groceries,34907
2019-05-01,Boston Central,Groceries,37300
2019-06-01,Boston Central,Groceries,39057
2019-07-01,Boston Central,Groceries,42229
2019-08-01,Boston Central,Groceries,37115
2019-09-01,Boston Central,Groceries,35773
2019-10-01,Boston Central,Groceries,33707
2019-11-01,Boston Central,Groceries,32774
2019-12-01,Boston Central,Groceries,35152
2020-01-01,Boston Central,Groceries,33186
2020-02-01,Boston Central,Groceries,30761
2020-03-01,Boston Central,Groceries,29513
2020-04-01,Boston Central,Groceries,30865
2020-05-01,Boston Central,Groceries,29871
2020-06-01,Boston Central,Groceries,30800
2020-07-01,Boston Central,Groceries,30352
2020-08-01,Boston Central,Groceries,31717
2020-09-01,Boston Central,Groceries,28658
2020-10-01,Boston Central,Groceries,33740
2020-11-01,Boston Central,Groceries,37589
2020-12-01,Boston Central,Groceries,34991
2021-01-01,Boston Central,Groceries,33694
2021-02-01,Boston Central,Groceries,35738
2021-03-01,Boston Central,Groceries,32720
2021-04-01,Boston Central,Groceries,32362
2021-05-01,Boston Central,Groceries,37874
2021-06-01,Boston Central,Groceries,36034
2021-07-01,Boston Central,Groceries,35168
2021-08-01,Boston Central,Groceries,36798
2021-09-01,Boston Central,Groceries,36925
2021-10-01,Boston Central,Groceries,39997
2021-11-01,Boston Central,Groceries,41333
2021-12-01,Boston Central,Groceries,42274
2022-01-01,Boston Central,Groceries,42497
2022-02-01,Boston Central,Groceries,42303
2022-03-01,Boston Central,Groceries,40336
2022-04-01,Boston Central,Groceries,39335
2022-05-01,Boston Central,Groceries,37275
2022-06-01,Boston Central,Groceries,42086
2022-07-01,Boston Central,Groceries,39022
2022-08-01,Boston Central,Groceries,37956
2022-09-01,Boston Central,Groceries,40460
2022-10-01,Boston Central,Groceries,35569
2022-11-01,Boston Central,Groceries,38260
2022-12-01,Boston Central,Groceries,36388
2018-01-01,Boston Central,Electronics,25710
2018-02-01,Boston Central,Electronics,25689
2018-03-01,Boston Central,Electronics,27562
2018-04-01,Boston Central,Electronics,28834
2018-05-01,Boston Central,Electronics,26478
2018-06-01,Boston Central,Electronics,26950
2018-07-01,Boston Central,Electronics,28846
2018-08-01,Boston Central,Electronics,27621
2018-09-01,Boston Central,Electronics,30144
2018-10-01,Boston Central,Electronics,29785
2018-11-01,Boston Central,Electronics,35321
